model_name,iteration,class_label,accuracy,step,batch_size
lenet5_batchNorm1,4,6,0.29347826086956524,3,128
lenet5_batchNorm1,4,8,0.5897435897435898,3,128
lenet5_batchNorm1,4,1,0.7264150943396226,3,128
lenet5_batchNorm1,4,3,0.9291338582677166,3,128
lenet5_batchNorm1,4,0,0.8977272727272727,3,128
lenet5_batchNorm1,4,5,0.9107142857142857,3,128
lenet5_batchNorm1,4,4,0.9083333333333333,3,128
lenet5_batchNorm1,4,7,0.5471698113207547,3,128
lenet5_batchNorm1,4,9,0.25301204819277107,3,128
lenet5_batchNorm1,8,9,0.25301204819277107,3,128
lenet5_batchNorm1,8,0,0.8977272727272727,3,128
lenet5_batchNorm1,8,1,0.7232704402515723,3,128
lenet5_batchNorm1,8,8,0.6153846153846154,3,128
lenet5_batchNorm1,8,2,0.8475609756097561,3,128
lenet5_batchNorm1,8,4,0.9166666666666666,3,128
lenet5_batchNorm1,8,7,0.5471698113207547,3,128
lenet5_batchNorm1,8,5,0.9017857142857143,3,128
lenet5_batchNorm1,8,3,0.9291338582677166,3,128
lenet5_batchNorm1,8,6,0.2826086956521739,3,128
lenet5_batchNorm1,13,3,0.9291338582677166,3,128
lenet5_batchNorm1,13,2,0.8414634146341463,3,128
lenet5_batchNorm1,13,1,0.7232704402515723,3,128
lenet5_batchNorm1,13,7,0.5471698113207547,3,128
lenet5_batchNorm1,13,8,0.6025641025641025,3,128
lenet5_batchNorm1,13,0,0.8977272727272727,3,128
lenet5_batchNorm1,13,4,0.9083333333333333,3,128
lenet5_batchNorm1,13,9,0.25301204819277107,3,128
lenet5_batchNorm1,13,5,0.9107142857142857,3,128
lenet5_batchNorm1,13,6,0.2717391304347826,3,128
lenet5_batchNorm1,5,0,0.8977272727272727,3,128
lenet5_batchNorm1,5,3,0.9291338582677166,3,128
lenet5_batchNorm1,5,1,0.710691823899371,3,128
lenet5_batchNorm1,5,8,0.5897435897435898,3,128
lenet5_batchNorm1,5,2,0.8353658536585366,3,128
lenet5_batchNorm1,5,4,0.9083333333333333,3,128
lenet5_batchNorm1,5,5,0.9017857142857143,3,128
lenet5_batchNorm1,5,7,0.5471698113207547,3,128
lenet5_batchNorm1,5,6,0.2826086956521739,3,128
lenet5_batchNorm1,5,9,0.26506024096385544,3,128
lenet5_batchNorm1,9,3,0.9291338582677166,3,128
lenet5_batchNorm1,9,2,0.8353658536585366,3,128
lenet5_batchNorm1,9,8,0.6153846153846154,3,128
lenet5_batchNorm1,9,4,0.9083333333333333,3,128
lenet5_batchNorm1,9,1,0.710691823899371,3,128
lenet5_batchNorm1,9,7,0.5471698113207547,3,128
lenet5_batchNorm1,9,6,0.29347826086956524,3,128
lenet5_batchNorm1,9,5,0.9017857142857143,3,128
lenet5_batchNorm1,9,0,0.8863636363636364,3,128
lenet5_batchNorm1,9,9,0.25301204819277107,3,128
lenet5_batchNorm1,3,1,0.7295597484276729,3,128
lenet5_batchNorm1,3,5,0.9107142857142857,3,128
lenet5_batchNorm1,3,4,0.9166666666666666,3,128
lenet5_batchNorm1,3,2,0.8353658536585366,3,128
lenet5_batchNorm1,3,0,0.8977272727272727,3,128
lenet5_batchNorm1,3,3,0.9291338582677166,3,128
lenet5_batchNorm1,3,7,0.5471698113207547,3,128
lenet5_batchNorm1,3,8,0.5897435897435898,3,128
lenet5_batchNorm1,3,6,0.30434782608695654,3,128
lenet5_batchNorm1,3,9,0.25301204819277107,3,128
lenet5_batchNorm1,14,3,0.9291338582677166,3,128
lenet5_batchNorm1,14,2,0.8292682926829268,3,128
lenet5_batchNorm1,14,4,0.925,3,128
lenet5_batchNorm1,14,1,0.720125786163522,3,128
lenet5_batchNorm1,14,0,0.8977272727272727,3,128
lenet5_batchNorm1,14,7,0.5566037735849056,3,128
lenet5_batchNorm1,14,5,0.9196428571428571,3,128
lenet5_batchNorm1,14,6,0.2826086956521739,3,128
lenet5_batchNorm1,14,8,0.6153846153846154,3,128
lenet5_batchNorm1,14,9,0.26506024096385544,3,128
lenet5_batchNorm1,16,4,0.9,3,128
lenet5_batchNorm1,16,8,0.5897435897435898,3,128
lenet5_batchNorm1,16,5,0.8928571428571429,3,128
lenet5_batchNorm1,16,2,0.8353658536585366,3,128
lenet5_batchNorm1,16,1,0.7138364779874213,3,128
lenet5_batchNorm1,16,0,0.8863636363636364,3,128
lenet5_batchNorm1,16,3,0.9291338582677166,3,128
lenet5_batchNorm1,16,7,0.5377358490566038,3,128
lenet5_batchNorm1,16,9,0.26506024096385544,3,128
lenet5_batchNorm1,16,6,0.29347826086956524,3,128
lenet5_batchNorm1,33,1,0.720125786163522,3,128
lenet5_batchNorm1,33,4,0.9,3,128
lenet5_batchNorm1,33,5,0.9017857142857143,3,128
lenet5_batchNorm1,33,0,0.8863636363636364,3,128
lenet5_batchNorm1,33,2,0.823170731707317,3,128
lenet5_batchNorm1,33,7,0.5660377358490566,3,128
lenet5_batchNorm1,33,8,0.6025641025641025,3,128
lenet5_batchNorm1,33,6,0.2717391304347826,3,128
lenet5_batchNorm1,33,3,0.9291338582677166,3,128
lenet5_batchNorm1,33,9,0.24096385542168675,3,128
lenet5_batchNorm1,27,1,0.7075471698113207,3,128
lenet5_batchNorm1,27,2,0.8353658536585366,3,128
lenet5_batchNorm1,27,5,0.9107142857142857,3,128
lenet5_batchNorm1,27,4,0.9083333333333333,3,128
lenet5_batchNorm1,27,6,0.29347826086956524,3,128
lenet5_batchNorm1,27,3,0.9291338582677166,3,128
lenet5_batchNorm1,27,8,0.6153846153846154,3,128
lenet5_batchNorm1,27,0,0.8977272727272727,3,128
lenet5_batchNorm1,27,7,0.5471698113207547,3,128
lenet5_batchNorm1,27,9,0.24096385542168675,3,128
lenet5_batchNorm1,34,3,0.9291338582677166,3,128
lenet5_batchNorm1,34,4,0.9,3,128
lenet5_batchNorm1,34,1,0.7232704402515723,3,128
lenet5_batchNorm1,34,5,0.9017857142857143,3,128
lenet5_batchNorm1,34,8,0.6282051282051282,3,128
lenet5_batchNorm1,34,2,0.8353658536585366,3,128
lenet5_batchNorm1,34,7,0.5566037735849056,3,128
lenet5_batchNorm1,34,0,0.8977272727272727,3,128
lenet5_batchNorm1,34,6,0.30434782608695654,3,128
