Class,Accuracy,iteration
8,0.9897330595482546,57.0
9,0.9861248761149654,57.0
0,0.996938775510204,55.0
1,0.9973568281938326,55.0
0,0.996938775510204,53.0
2,0.9922480620155039,55.0
3,0.9920792079207921,55.0
1,0.9973568281938326,53.0
4,0.9928716904276986,55.0
2,0.9922480620155039,53.0
5,0.9910313901345291,55.0
3,0.9920792079207921,53.0
6,0.9906054279749478,55.0
4,0.9928716904276986,53.0
7,0.9892996108949417,55.0
5,0.9910313901345291,53.0
8,0.9897330595482546,55.0
6,0.9906054279749478,53.0
9,0.9861248761149654,55.0
7,0.9892996108949417,53.0
8,0.9897330595482546,53.0
9,0.9861248761149654,53.0
0,0.996938775510204,51.0
1,0.9973568281938326,51.0
2,0.9922480620155039,51.0
3,0.9920792079207921,51.0
4,0.9928716904276986,51.0
5,0.9910313901345291,51.0
6,0.9906054279749478,51.0
7,0.9892996108949417,51.0
8,0.9897330595482546,51.0
9,0.9861248761149654,51.0
0,0.996938775510204,56.0
1,0.9973568281938326,56.0
2,0.9922480620155039,56.0
3,0.9920792079207921,56.0
4,0.9928716904276986,56.0
5,0.9910313901345291,56.0
6,0.9906054279749478,56.0
7,0.9892996108949417,56.0
8,0.9897330595482546,56.0
9,0.9861248761149654,56.0
0,0.996938775510204,47.0
1,0.9973568281938326,47.0
2,0.9922480620155039,47.0
3,0.9920792079207921,47.0
4,0.9928716904276986,47.0
5,0.9910313901345291,47.0
0,0.996938775510204,44.0
1,0.9973568281938326,44.0
2,0.9922480620155039,44.0
3,0.9920792079207921,44.0
4,0.9928716904276986,44.0
5,0.9910313901345291,44.0
6,0.9906054279749478,44.0
7,0.9892996108949417,44.0
8,0.9897330595482546,44.0
9,0.9861248761149654,44.0
6,0.9906054279749478,47.0
7,0.9892996108949417,47.0
8,0.9897330595482546,47.0
9,0.9861248761149654,47.0
0,0.996938775510204,50.0
