model_name,iteration,class_label,accuracy,step,batch_size
lenet5_batchNorm3,14,5,0.875,1,64
lenet5_batchNorm3,14,0,0.5681818181818182,1,64
lenet5_batchNorm3,14,2,0.6341463414634146,1,64
lenet5_batchNorm3,14,3,0.9606299212598425,1,64
lenet5_batchNorm3,14,7,0.4716981132075472,1,64
lenet5_batchNorm3,14,4,0.8,1,64
lenet5_batchNorm3,14,9,0.12048192771084337,1,64
lenet5_batchNorm3,14,8,0.358974358974359,1,64
lenet5_batchNorm3,14,6,0.22826086956521738,1,64
lenet5_batchNorm3,8,4,0.8083333333333333,1,64
lenet5_batchNorm3,8,8,0.3717948717948718,1,64
lenet5_batchNorm3,8,2,0.6280487804878049,1,64
lenet5_batchNorm3,8,7,0.46226415094339623,1,64
lenet5_batchNorm3,8,3,0.9763779527559056,1,64
lenet5_batchNorm3,8,1,0.7264150943396226,1,64
lenet5_batchNorm3,8,5,0.875,1,64
lenet5_batchNorm3,8,0,0.5568181818181818,1,64
lenet5_batchNorm3,8,6,0.22826086956521738,1,64
lenet5_batchNorm3,8,9,0.10843373493975904,1,64
lenet5_batchNorm3,7,5,0.875,1,64
lenet5_batchNorm3,7,1,0.7264150943396226,1,64
lenet5_batchNorm3,7,0,0.5568181818181818,1,64
lenet5_batchNorm3,7,9,0.12048192771084337,1,64
lenet5_batchNorm3,7,6,0.21739130434782608,1,64
lenet5_batchNorm3,7,2,0.6219512195121951,1,64
lenet5_batchNorm3,7,4,0.8,1,64
lenet5_batchNorm3,7,8,0.358974358974359,1,64
lenet5_batchNorm3,7,3,0.968503937007874,1,64
lenet5_batchNorm3,7,7,0.46226415094339623,1,64
lenet5_batchNorm3,33,1,0.7421383647798742,1,64
lenet5_batchNorm3,33,3,0.968503937007874,1,64
lenet5_batchNorm3,33,8,0.358974358974359,1,64
lenet5_batchNorm3,33,0,0.5681818181818182,1,64
lenet5_batchNorm3,33,2,0.6219512195121951,1,64
lenet5_batchNorm3,33,5,0.8660714285714286,1,64
lenet5_batchNorm3,33,7,0.49056603773584906,1,64
lenet5_batchNorm3,33,4,0.8,1,64
lenet5_batchNorm3,33,6,0.1956521739130435,1,64
lenet5_batchNorm3,33,9,0.10843373493975904,1,64
lenet5_batchNorm3,23,1,0.7264150943396226,1,64
lenet5_batchNorm3,23,4,0.8083333333333333,1,64
lenet5_batchNorm3,23,5,0.875,1,64
lenet5_batchNorm3,23,0,0.5681818181818182,1,64
lenet5_batchNorm3,23,3,0.9763779527559056,1,64
lenet5_batchNorm3,23,6,0.22826086956521738,1,64
lenet5_batchNorm3,23,2,0.6341463414634146,1,64
