iteration,step_size,model_name,accuracy,batch_size
10,3,resnet32.pt,0.6149068322981367,32
6,3,resnet32.pt,0.6071428571428571,32
7,3,resnet32.pt,0.6079192546583851,32
3,3,resnet32.pt,0.6079192546583851,32
4,3,resnet32.pt,0.5954968944099379,32
2,2,resnet32.pt,0.6079192546583851,32
1,4,resnet32.pt,0.6459627329192547,32
8,4,resnet32.pt,0.6242236024844721,32
7,4,resnet32.pt,0.6413043478260869,32
6,4,resnet32.pt,0.609472049689441,32
5,4,resnet32.pt,0.6180124223602484,32
10,4,resnet32.pt,0.5815217391304348,32
9,4,resnet32.pt,0.6001552795031055,32
3,4,resnet32.pt,0.5791925465838509,32
4,4,resnet32.pt,0.6374223602484472,32
2,3,resnet32.pt,0.6086956521739131,32
2,4,resnet32.pt,0.6040372670807453,32
10,5,resnet32.pt,0.6366459627329193,32
5,5,resnet32.pt,0.6296583850931677,32
9,5,resnet32.pt,0.6288819875776398,32
3,5,resnet32.pt,0.5978260869565217,32
1,5,resnet32.pt,0.625,32
8,5,resnet32.pt,0.6327639751552795,32
7,5,resnet32.pt,0.5690993788819876,32
6,5,resnet32.pt,0.5970496894409938,32
4,5,resnet32.pt,0.6335403726708074,32
2,5,resnet32.pt,0.6350931677018633,32
5,6,resnet32.pt,0.6141304347826086,32
9,6,resnet32.pt,0.5986024844720497,32
10,6,resnet32.pt,0.6149068322981367,32
3,6,resnet32.pt,0.640527950310559,32
1,6,resnet32.pt,0.6335403726708074,32
8,6,resnet32.pt,0.6265527950310559,32
6,6,resnet32.pt,0.6218944099378882,32
7,6,resnet32.pt,0.6164596273291926,32
4,6,resnet32.pt,0.6304347826086957,32
2,6,resnet32.pt,0.5970496894409938,32
5,7,resnet32.pt,0.6118012422360248,32
9,7,resnet32.pt,0.640527950310559,32
10,7,resnet32.pt,0.5885093167701864,32
1,7,resnet32.pt,0.6273291925465838,32
8,7,resnet32.pt,0.6436335403726708,32
3,7,resnet32.pt,0.5993788819875776,32
4,7,resnet32.pt,0.5590062111801242,32
7,7,resnet32.pt,0.5822981366459627,32
6,7,resnet32.pt,0.6133540372670807,32
2,7,resnet32.pt,0.6630434782608695,32
9,8,resnet32.pt,0.6319875776397516,32
5,8,resnet32.pt,0.6521739130434783,32
1,8,resnet32.pt,0.5970496894409938,32
8,8,resnet32.pt,0.5675465838509317,32
10,8,resnet32.pt,0.6063664596273292,32
6,8,resnet32.pt,0.656055900621118,32
3,8,resnet32.pt,0.6335403726708074,32
4,8,resnet32.pt,0.6265527950310559,32
7,8,resnet32.pt,0.5869565217391305,32
2,8,resnet32.pt,0.6273291925465838,32
9,9,resnet32.pt,0.6529503105590062,32
1,9,resnet32.pt,0.5791925465838509,32
5,9,resnet32.pt,0.6265527950310559,32
8,9,resnet32.pt,0.578416149068323,32
6,9,resnet32.pt,0.6079192546583851,32
10,9,resnet32.pt,0.5877329192546584,32
4,9,resnet32.pt,0.6444099378881988,32
3,9,resnet32.pt,0.593167701863354,32
7,9,resnet32.pt,0.65527950310559,32
2,9,resnet32.pt,0.5854037267080745,32
8,10,resnet32.pt,0.6366459627329193,32
9,10,resnet32.pt,0.6490683229813664,32
10,10,resnet32.pt,0.592391304347826,32
5,10,resnet32.pt,0.5908385093167702,32
1,10,resnet32.pt,0.6482919254658385,32
6,10,resnet32.pt,0.656055900621118,32
4,10,resnet32.pt,0.6203416149068323,32
7,10,resnet32.pt,0.6350931677018633,32
3,10,resnet32.pt,0.6265527950310559,32
9,2,resnet32.pt,0.6203416149068323,64
1,2,resnet32.pt,0.6180124223602484,64
5,2,resnet32.pt,0.6133540372670807,64
10,2,resnet32.pt,0.6226708074534162,64
8,2,resnet32.pt,0.6110248447204969,64
6,2,resnet32.pt,0.6374223602484472,64
7,2,resnet32.pt,0.6086956521739131,64
3,2,resnet32.pt,0.6187888198757764,64
4,2,resnet32.pt,0.6257763975155279,64
1,3,resnet32.pt,0.6281055900621118,64
9,3,resnet32.pt,0.6335403726708074,64
10,3,resnet32.pt,0.6475155279503105,64
5,3,resnet32.pt,0.6164596273291926,64
6,3,resnet32.pt,0.6079192546583851,64
8,3,resnet32.pt,0.6203416149068323,64
4,3,resnet32.pt,0.6242236024844721,64
3,3,resnet32.pt,0.6071428571428571,64
7,3,resnet32.pt,0.609472049689441,64
10,4,resnet32.pt,0.6055900621118012,64
9,4,resnet32.pt,0.6063664596273292,64
1,4,resnet32.pt,0.6366459627329193,64
8,4,resnet32.pt,0.6164596273291926,64
5,4,resnet32.pt,0.6296583850931677,64
4,4,resnet32.pt,0.6335403726708074,64
6,4,resnet32.pt,0.6467391304347826,64
3,4,resnet32.pt,0.6319875776397516,64
7,4,resnet32.pt,0.6055900621118012,64
2,10,resnet32.pt,0.6218944099378882,32
2,2,resnet32.pt,0.6141304347826086,64
9,5,resnet32.pt,0.6149068322981367,64
8,5,resnet32.pt,0.6358695652173914,64
1,5,resnet32.pt,0.6304347826086957,64
10,5,resnet32.pt,0.5993788819875776,64
